"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of integrin-mediated signaling pathway","GO:2001046","true","0.00007528062980068239","4.123316756241042","12","196","5","16268","NID1,LOXL3,LAMA1,LAMB1,LAMC1"
"GO:BP","regulation of integrin-mediated signaling pathway","GO:2001044","false","0.0007414884450283231","3.129895612403015","19","196","5","16268","NID1,LOXL3,LAMA1,LAMB1,LAMC1"
"GO:BP","basement membrane organization","GO:0071711","false","0.0010410668288879188","2.9825213910603674","21","196","5","16268","NID1,LAMA1,LAMB1,COL4A1,LAMC1"
"GO:BP","regulation of basement membrane organization","GO:0110011","false","0.0014354643797065665","2.843007579822868","11","196","4","16268","NID1,LAMA1,LAMB1,LAMC1"
"GO:BP","negative regulation of Wnt signaling pathway","GO:0030178","true","0.0023020882725781158","2.6378780275530667","146","196","10","16268","IGFBP2,DRAXIN,TMEM88,HIC1,MDFI,TLE2,TRABD2B,APOE,TRABD2A,NOTUM"
"GO:BP","cardiac muscle cell action potential involved in contraction","GO:0086002","true","0.009972588636261971","2.0011920949962225","57","196","6","16268","RNF207,CACNA1G,SCN4A,GJA1,KCNJ3,CTNNA3"
"GO:BP","elastic fiber assembly","GO:0048251","true","0.013250064292921098","1.8777820144069381","8","196","3","16268","EFEMP2,LTBP4,FBLN5"
"GO:BP","neuron projection guidance","GO:0097485","false","0.015819182315306227","1.800815968697265","160","196","9","16268","DRAXIN,NFIB,SEMA3G,NTN3,EFNA2,L1CAM,SEMA3B,UNC5D,UNC5A"
"GO:BP","regulation of muscle cell differentiation","GO:0051147","true","0.015819182315306227","1.800815968697265","95","196","7","16268","NID1,EFEMP2,IGF2,LAMA1,LAMB1,RBPMS2,LAMC1"
"GO:BP","axon guidance","GO:0007411","false","0.015819182315306227","1.800815968697265","160","196","9","16268","DRAXIN,NFIB,SEMA3G,NTN3,EFNA2,L1CAM,SEMA3B,UNC5D,UNC5A"
"GO:BP","cGMP-mediated signaling","GO:0019934","true","0.01816931788569892","1.7406613767116477","24","196","4","16268","APOE,AGTR2,PDE2A,HTR2B"
"GO:BP","sialylation","GO:0097503","true","0.018273676101876492","1.7381740771595222","10","196","3","16268","ST3GAL2,ST6GAL1,ST8SIA4"
"GO:BP","protein oxidation","GO:0018158","false","0.018273676101876492","1.7381740771595222","10","196","3","16268","LOXL3,TRABD2B,TRABD2A"
"GO:BP","cardiac muscle cell contraction","GO:0086003","false","0.019260094056098513","1.7153415963420744","71","196","6","16268","RNF207,CACNA1G,SCN4A,GJA1,KCNJ3,CTNNA3"
"GO:BP","action potential","GO:0001508","false","0.021402561779089658","1.6695342406725135","136","196","8","16268","KCNC1,RNF207,CACNA1G,SCN4A,GJA1,CNTNAP1,KCNJ3,CTNNA3"
"GO:BP","positive regulation of muscle cell differentiation","GO:0051149","false","0.025512507477099423","1.5932468549946366","49","196","5","16268","NID1,EFEMP2,LAMA1,LAMB1,LAMC1"
"GO:BP","cardiac muscle cell action potential","GO:0086001","false","0.03359240388093747","1.4737589168230802","80","196","6","16268","RNF207,CACNA1G,SCN4A,GJA1,KCNJ3,CTNNA3"
"GO:BP","regulation of extracellular matrix organization","GO:1903053","false","0.03376371434462522","1.4715497827027282","53","196","5","16268","NID1,EFEMP2,LAMA1,LAMB1,LAMC1"
"GO:BP","cell communication involved in cardiac conduction","GO:0086065","false","0.03485726463398054","1.4577066964279302","54","196","5","16268","RNF207,CACNA1G,GJA1,KCNJ3,CTNNA3"
"GO:BP","cell-cell signaling involved in cardiac conduction","GO:0086019","false","0.034872729442719304","1.4575140596351703","31","196","4","16268","RNF207,CACNA1G,GJA1,KCNJ3"
"GO:BP","establishment of spindle localization","GO:0051293","true","0.03512432035119233","1.4543920705198174","55","196","5","16268","SAPCD2,NUSAP1,NDE1,SKA2,GJA1"
"GO:BP","postsynaptic density organization","GO:0097106","true","0.03783594325317715","1.4220954345643","14","196","3","16268","LRRC4,LRRC4B,NRXN2"
"GO:BP","spindle localization","GO:0051653","false","0.03948860452482339","1.4035282133862","57","196","5","16268","SAPCD2,NUSAP1,NDE1,SKA2,GJA1"
"GO:BP","postsynaptic specialization organization","GO:0099084","false","0.0446951863349044","1.3497392478023047","15","196","3","16268","LRRC4,LRRC4B,NRXN2"
"REAC","Laminin interactions","REAC:R-HSA-3000157","false","0.00037363575533320086","3.427551570341071","30","134","6","11004","NID1,LAMA5,LAMA1,LAMB1,COL4A1,LAMC1"
"REAC","Degradation of the extracellular matrix","REAC:R-HSA-1474228","false","0.0014044081467944791","2.8525066599118807","140","134","10","11004","NID1,COL9A3,LAMA5,CTSV,COL26A1,MMP25,LAMB1,TLL2,COL4A1,LAMC1"
"REAC","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","REAC:R-HSA-381426","false","0.002147669436610295","2.668032563244281","124","134","9","11004","IGFBP2,MXRA8,IGF2,VWA1,APOE,LAMB1,CALU,NOTUM,LAMC1"
"REAC","Crosslinking of collagen fibrils","REAC:R-HSA-2243919","false","0.00515636166827161","2.2876566287457036","18","134","4","11004","PCOLCE,LOXL3,TLL2,COL4A1"
"REAC","Collagen formation","REAC:R-HSA-1474290","false","0.006219142472436373","2.206269493952806","89","134","7","11004","COL9A3,PCOLCE,LOXL3,CTSV,COL26A1,TLL2,COL4A1"
"REAC","Assembly of collagen fibrils and other multimeric structures","REAC:R-HSA-2022090","false","0.006219142472436373","2.206269493952806","60","134","6","11004","COL9A3,PCOLCE,LOXL3,CTSV,TLL2,COL4A1"
"REAC","Post-translational protein phosphorylation","REAC:R-HSA-8957275","false","0.014489436363526524","1.8389485081776313","107","134","7","11004","MXRA8,VWA1,APOE,LAMB1,CALU,NOTUM,LAMC1"
"REAC","EGR2 and SOX10-mediated initiation of Schwann cell myelination","REAC:R-HSA-9619665","false","0.014489436363526524","1.8389485081776313","28","134","4","11004","POU3F2,MBP,LAMB1,LAMC1"
"REAC","ECM proteoglycans","REAC:R-HSA-3000178","false","0.014489436363526524","1.8389485081776313","76","134","6","11004","COL9A3,LAMA5,LAMA1,LAMB1,COL4A1,LAMC1"
"REAC","MET activates PTK2 signaling","REAC:R-HSA-8874081","false","0.017672144543061333","1.7527107449638502","30","134","4","11004","LAMA5,LAMA1,LAMB1,LAMC1"
"REAC","L1CAM interactions","REAC:R-HSA-373760","false","0.022434314032191375","1.6490872052300194","119","134","7","11004","SCN4A,DNM1,LAMA1,L1CAM,LAMB1,CNTNAP1,LAMC1"
"REAC","Sialic acid metabolism","REAC:R-HSA-4085001","false","0.022445988333671146","1.6488612671431606","33","134","4","11004","ST3GAL2,NEU4,ST6GAL1,ST8SIA4"
"REAC","Non-integrin membrane-ECM interactions","REAC:R-HSA-3000171","false","0.023714926535775224","1.6249782163697675","59","134","5","11004","LAMA5,LAMA1,LAMB1,COL4A1,LAMC1"
"REAC","MET promotes cell motility","REAC:R-HSA-8875878","false","0.03952775356574764","1.403097866702367","40","134","4","11004","LAMA5,LAMA1,LAMB1,LAMC1"
"REAC","Collagen biosynthesis and modifying enzymes","REAC:R-HSA-1650814","false","0.03952775356574764","1.403097866702367","67","134","5","11004","COL9A3,PCOLCE,COL26A1,TLL2,COL4A1"
"REAC","NCAM1 interactions","REAC:R-HSA-419037","false","0.04513620852701691","1.3454749247653757","42","134","4","11004","COL9A3,CACNA1G,ST8SIA4,COL4A1"
"WP","Alpha 6 beta 4 signaling","WP:WP244","false","0.018995851792708685","1.7213412274802007","33","116","5","8752","LAMA5,SHC1,LAMA1,LAMB1,LAMC1"
