"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","myofibril assembly","GO:0030239","false","0.00003726768853298631","4.4286675428109525","76","320","10","21026","MYOM2,MYBPC2,CSRP3,PGM5,MYBPC1,LMOD3,ADPRHL1,CAV3,KLHL41,MYOM3"
"GO:BP","striated muscle contraction","GO:0006941","false","0.00003726768853298631","4.4286675428109525","189","320","15","21026","NPPA,CXCR4,PKP2,SCN2A,SMPX,CSRP3,RYR3,CLIC2,LMOD3,SCN3A,CASQ2,ABCC9,CAV3,MYLK2,KLHL41"
"GO:BP","striated muscle cell development","GO:0055002","false","0.0002570681263237867","3.589951767852768","171","320","13","21026","MYOM2,MYBPC2,CSRP3,PGM5,MYBPC1,HDAC9,LMOD3,PRICKLE1,ADPRHL1,FOXP1,CAV3,KLHL41,MYOM3"
"GO:BP","sarcoplasmic reticulum calcium ion transport","GO:0070296","false","0.00032664032131681387","3.485930205868397","42","320","7","21026","RYR3,DHRS7C,CLIC2,TRDN,CASQ2,CACNG1,MRLN"
"GO:BP","regulation of smooth muscle cell proliferation","GO:0048660","false","0.000762313060060684","3.1178666397685983","139","320","11","21026","CALCRL,NPR1,ID2,NR4A3,CDKN1A,P2RY6,PDGFD,IGFBP5,MEF2C,ELN,FOXP1"
"GO:BP","cardiac muscle contraction","GO:0060048","false","0.000888984069155004","3.051106021639534","142","320","11","21026","NPPA,CXCR4,PKP2,SCN2A,CSRP3,CLIC2,SCN3A,CASQ2,ABCC9,CAV3,MYLK2"
"GO:BP","muscle cell development","GO:0055001","false","0.000888984069155004","3.051106021639534","198","320","13","21026","MYOM2,MYBPC2,CSRP3,PGM5,MYBPC1,HDAC9,LMOD3,PRICKLE1,ADPRHL1,FOXP1,CAV3,KLHL41,MYOM3"
"GO:BP","smooth muscle cell proliferation","GO:0048659","false","0.0009103640567983315","3.0407848975244653","143","320","11","21026","CALCRL,NPR1,ID2,NR4A3,CDKN1A,P2RY6,PDGFD,IGFBP5,MEF2C,ELN,FOXP1"
"GO:BP","regulation of myoblast differentiation","GO:0045661","true","0.001265715708416014","2.8976638299671453","76","320","8","21026","RANBP3L,DPF3,SMARCA2,CSRP3,MEF2C,PRICKLE1,NMRK2,KLHL41"
"GO:BP","skeletal muscle tissue development","GO:0007519","false","0.001301198940910856","2.8856562988767798","180","320","12","21026","MYOM2,KLF5,CSRP3,HLF,HDAC9,HOXD9,LMOD3,MEF2C,ELN,ABCC9,MYLK2,KLHL41"
"GO:BP","outflow tract morphogenesis","GO:0003151","false","0.0013410661957152445","2.8725497846209396","77","320","8","21026","PITX2,FOLR1,TGFB2,NRP2,MEF2C,PRICKLE1,ELN,CLDN5"
"GO:BP","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897","false","0.0016921231025011562","2.7715680450841123","186","320","12","21026","AGT,TMEM100,SEMA3E,LTK,PDGFD,TGFB2,IGFBP5,NTS,EGF,HCLS1,GCNT2,STOX1"
"GO:BP","vitamin biosynthetic process","GO:0009110","true","0.0018365288132372733","2.7360022536340747","25","320","5","21026","SNAI1,BCO1,SLC19A3,TPK1,CYP27A1"
"GO:BP","skeletal muscle organ development","GO:0060538","false","0.0023231730679199865","2.6339184356397514","194","320","12","21026","MYOM2,KLF5,CSRP3,HLF,HDAC9,HOXD9,LMOD3,MEF2C,ELN,ABCC9,MYLK2,KLHL41"
"GO:BP","pyrimidine-containing compound biosynthetic process","GO:0072528","false","0.0023231730679199865","2.6339184356397514","43","320","6","21026","CDA,SLC19A3,TPK1,AK5,CPS1,NME9"
"GO:BP","striated muscle hypertrophy","GO:0014897","false","0.002552052457937358","2.5931104028511185","86","320","8","21026","AGT,NPPA,NR4A3,CSRP3,TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","cellular anatomical entity morphogenesis","GO:0032989","false","0.002568371917032097","2.590342087371286","138","320","10","21026","MYOM2,MYBPC2,CSRP3,PGM5,MYBPC1,LMOD3,ADPRHL1,CAV3,KLHL41,MYOM3"
"GO:BP","cellular component assembly involved in morphogenesis","GO:0010927","false","0.002568371917032097","2.590342087371286","138","320","10","21026","MYOM2,MYBPC2,CSRP3,PGM5,MYBPC1,LMOD3,ADPRHL1,CAV3,KLHL41,MYOM3"
"GO:BP","muscle hypertrophy","GO:0014896","false","0.002857735994024849","2.54397789508115","88","320","8","21026","AGT,NPPA,NR4A3,CSRP3,TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","endothelial tube morphogenesis","GO:0061154","false","0.004670349406925124","2.3306506269664267","17","320","4","21026","RHOB,CXCR4,STARD13,FOXP1"
"GO:BP","morphogenesis of an endothelium","GO:0003159","false","0.004670349406925124","2.3306506269664267","17","320","4","21026","RHOB,CXCR4,STARD13,FOXP1"
"GO:BP","cardiocyte differentiation","GO:0035051","false","0.004724975944847576","2.3256003981698616","151","320","10","21026","EFNB2,PITX2,CSRP3,FOLR1,TGFB2,MEF2C,PRICKLE1,ADPRHL1,FOXP1,CAV3"
"GO:BP","sarcomere organization","GO:0045214","false","0.005090319060563701","2.293254995286137","51","320","6","21026","MYOM2,MYBPC2,CSRP3,MYBPC1,CAV3,MYOM3"
"GO:BP","hair follicle morphogenesis","GO:0031069","false","0.005565239112647557","2.2545161712982793","33","320","5","21026","SNAI1,FST,TGFB2,IGFBP5,FGF7"
"GO:BP","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","GO:0014808","false","0.007171235740961117","2.144406000644878","35","320","5","21026","RYR3,DHRS7C,CLIC2,TRDN,CASQ2"
"GO:BP","regulation of muscle adaptation","GO:0043502","false","0.007828053548816286","2.106346212156106","79","320","7","21026","AGT,FBXO32,NR4A3,TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","muscle adaptation","GO:0043500","false","0.007902832595456676","2.102217217559628","105","320","8","21026","AGT,FBXO32,NPPA,NR4A3,TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","release of sequestered calcium ion into cytosol by endoplasmic reticulum","GO:1903514","false","0.008262630714292047","2.0828816569408932","37","320","5","21026","RYR3,DHRS7C,CLIC2,TRDN,CASQ2"
"GO:BP","epidermis morphogenesis","GO:0048730","false","0.008262630714292047","2.0828816569408932","37","320","5","21026","SNAI1,FST,TGFB2,IGFBP5,FGF7"
"GO:BP","regulation of muscle hypertrophy","GO:0014743","false","0.008262630714292047","2.0828816569408932","57","320","6","21026","AGT,NR4A3,TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","response to prostaglandin","GO:0034694","true","0.00925779491128904","2.0334924444089046","38","320","5","21026","TNC,TNFSF4,AANAT,P2RY6,A2M"
"GO:BP","cardiac muscle hypertrophy","GO:0003300","false","0.009504320934831514","2.0220789071826304","83","320","7","21026","AGT,NPPA,NR4A3,CSRP3,TRIM63,FOXP1,CAV3"
"GO:BP","mesenchymal-epithelial cell signaling","GO:0060638","false","0.009504320934831514","2.0220789071826304","9","320","3","21026","TNC,FOXA1,FGF7"
"GO:BP","actin-mediated cell contraction","GO:0070252","false","0.010092436092769707","1.9960039919444346","111","320","8","21026","EPDR1,PKP2,SCN2A,SCN3A,ABCC9,MYH2,CAV3,MYLK2"
"GO:BP","regulation of calcium ion transmembrane transporter activity","GO:1901019","false","0.010092436092769707","1.9960039919444346","60","320","6","21026","NPPA,P2RY6,CLIC2,TRDN,CASQ2,CAV3"
"GO:BP","regulation of vascular associated smooth muscle cell proliferation","GO:1904705","false","0.010747609507141896","1.9686881211720935","61","320","6","21026","CALCRL,NR4A3,CDKN1A,P2RY6,IGFBP5,MEF2C"
"GO:BP","positive regulation of smooth muscle cell proliferation","GO:0048661","false","0.011152199478541819","1.9526394709843036","86","320","7","21026","CALCRL,ID2,NR4A3,P2RY6,PDGFD,IGFBP5,FOXP1"
"GO:BP","heart valve morphogenesis","GO:0003179","false","0.011587920325883159","1.9359944995010898","62","320","6","21026","CDH11,SNAI1,NPPA,TGFB2,MEF2C,ELN"
"GO:BP","vascular associated smooth muscle cell proliferation","GO:1990874","false","0.012146811894357798","1.9155376939482436","63","320","6","21026","CALCRL,NR4A3,CDKN1A,P2RY6,IGFBP5,MEF2C"
"GO:BP","negative regulation of ryanodine-sensitive calcium-release channel activity","GO:0060315","false","0.012146811894357798","1.9155376939482436","10","320","3","21026","CLIC2,TRDN,CASQ2"
"GO:BP","establishment of centrosome localization","GO:0051660","true","0.012146811894357798","1.9155376939482436","10","320","3","21026","MISP,PARD3B,PKHD1"
"GO:BP","dopamine metabolic process","GO:0042417","true","0.012146811894357798","1.9155376939482436","41","320","5","21026","GCH1,GPR37,NPR1,TGFB2,CHRNB2"
"GO:BP","myoblast differentiation","GO:0045445","false","0.012146811894357798","1.9155376939482436","115","320","8","21026","RANBP3L,DPF3,SMARCA2,CSRP3,MEF2C,PRICKLE1,NMRK2,KLHL41"
"GO:BP","vitamin metabolic process","GO:0006766","false","0.013970632797935423","1.854783922130096","118","320","8","21026","CYP2W1,SNAI1,BCO1,CYP24A1,SLC19A3,FOLR1,TPK1,CYP27A1"
"GO:BP","response to purine-containing compound","GO:0014074","false","0.013970632797935423","1.854783922130096","148","320","9","21026","THBD,AANAT,DMTN,P2RY6,RYR3,IGFBP5,CPS1,CASQ2,ABCC9"
"GO:BP","regulation of morphogenesis of an epithelium","GO:1905330","false","0.014117434791430853","1.8502442095969027","65","320","6","21026","AGT,EGF,STOX1,FGF7,FOXP1,CAV3"
"GO:BP","organic cation transport","GO:0015695","true","0.015433051753972348","1.8115481874260035","120","320","8","21026","SLC6A12,FLVCR2,SLC22A5,SLC19A3,SLC44A3,SLC7A8,SLC38A5,SLC7A7"
"GO:BP","regulation of tube diameter","GO:0035296","false","0.015610196464178005","1.8065916310329397","151","320","9","21026","KLF2,AGT,GCH1,NPPA,NPR1,HRH1,NTS,CPS1,ABCC9"
"GO:BP","blood vessel diameter maintenance","GO:0097746","false","0.015610196464178005","1.8065916310329397","151","320","9","21026","KLF2,AGT,GCH1,NPPA,NPR1,HRH1,NTS,CPS1,ABCC9"
"GO:BP","regulation of tube size","GO:0035150","false","0.015979993598908178","1.796423398986947","152","320","9","21026","KLF2,AGT,GCH1,NPPA,NPR1,HRH1,NTS,CPS1,ABCC9"
"GO:BP","neural crest cell differentiation","GO:0014033","false","0.015979993598908178","1.796423398986947","93","320","7","21026","SEMA3E,KBTBD8,PITX2,SEMA3D,FOLR1,NRP2,MEF2C"
"GO:BP","positive regulation of myoblast differentiation","GO:0045663","false","0.016902689526958562","1.7720441856950064","45","320","5","21026","RANBP3L,DPF3,SMARCA2,CSRP3,MEF2C"
"GO:BP","regulation of cardiocyte differentiation","GO:1905207","false","0.01718790517864746","1.7647770508750185","26","320","4","21026","EFNB2,TGFB2,MEF2C,PRICKLE1"
"GO:BP","dopamine biosynthetic process","GO:0042416","false","0.019390726072875328","1.7124059287480358","12","320","3","21026","GCH1,GPR37,TGFB2"
"GO:BP","fat-soluble vitamin metabolic process","GO:0006775","false","0.02152063565117312","1.6671449051376235","48","320","5","21026","CYP2W1,SNAI1,BCO1,CYP24A1,CYP27A1"
"GO:BP","semi-lunar valve development","GO:1905314","false","0.02152063565117312","1.6671449051376235","48","320","5","21026","CDH11,SNAI1,NPPA,TGFB2,ELN"
"GO:BP","hair follicle development","GO:0001942","false","0.02152540499070739","1.667048668744234","99","320","7","21026","SNAI1,FERMT1,FST,TGFB2,IGFBP5,EDA,FGF7"
"GO:BP","biogenic amine metabolic process","GO:0006576","false","0.022592627264426256","1.6460332626565628","100","320","7","21026","GCH1,GPR37,AANAT,TDO2,NPR1,TGFB2,CHRNB2"
"GO:BP","negative regulation of release of sequestered calcium ion into cytosol","GO:0051280","false","0.023409983056504005","1.6305989006335542","13","320","3","21026","CLIC2,TRDN,CASQ2"
"GO:BP","cellular response to purine-containing compound","GO:0071415","false","0.023409983056504005","1.6305989006335542","13","320","3","21026","P2RY6,RYR3,CASQ2"
"GO:BP","fat-soluble vitamin biosynthetic process","GO:0042362","false","0.023409983056504005","1.6305989006335542","13","320","3","21026","SNAI1,BCO1,CYP27A1"
"GO:BP","response to organophosphorus","GO:0046683","false","0.02367220094826056","1.6257613611986275","132","320","8","21026","THBD,AANAT,DMTN,P2RY6,RYR3,IGFBP5,CPS1,ABCC9"
"GO:BP","sprouting angiogenesis","GO:0002040","false","0.02367220094826056","1.6257613611986275","132","320","8","21026","KLF2,CCBE1,EFNB2,SEMA3E,LEF1,STARD13,HDAC9,PPP1R16B"
"GO:BP","hair cycle process","GO:0022405","false","0.02367220094826056","1.6257613611986275","102","320","7","21026","SNAI1,FERMT1,FST,TGFB2,IGFBP5,EDA,FGF7"
"GO:BP","molting cycle process","GO:0022404","false","0.02367220094826056","1.6257613611986275","102","320","7","21026","SNAI1,FERMT1,FST,TGFB2,IGFBP5,EDA,FGF7"
"GO:BP","negative regulation of muscle hypertrophy","GO:0014741","false","0.02367220094826056","1.6257613611986275","29","320","4","21026","TRIM63,IGFBP5,FOXP1,CAV3"
"GO:BP","blastoderm segmentation","GO:0007350","true","0.02367220094826056","1.6257613611986275","29","320","4","21026","PLD6,HOXD8,TDRD1,NRP2"
"GO:BP","pyrimidine-containing compound metabolic process","GO:0072527","false","0.02409822794306507","1.6180148919829629","75","320","6","21026","CDA,SLC19A3,TPK1,AK5,CPS1,NME9"
"GO:BP","heart valve development","GO:0003170","false","0.02409822794306507","1.6180148919829629","75","320","6","21026","CDH11,SNAI1,NPPA,TGFB2,MEF2C,ELN"
"GO:BP","regulation of calcium ion transmembrane transport","GO:1903169","false","0.02522887870860265","1.5981020511664508","167","320","9","21026","NPPA,P2RY6,TSPAN13,DHRS7C,CLIC2,TRDN,CASQ2,CACNG1,CAV3"
"GO:BP","response to prostaglandin E","GO:0034695","false","0.02522887870860265","1.5981020511664508","30","320","4","21026","TNFSF4,AANAT,P2RY6,A2M"
"GO:BP","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","GO:0010880","false","0.02522887870860265","1.5981020511664508","30","320","4","21026","DHRS7C,CLIC2,TRDN,CASQ2"
"GO:BP","vasodilation","GO:0042311","false","0.02522887870860265","1.5981020511664508","51","320","5","21026","KLF2,GCH1,NPPA,CPS1,ABCC9"
"GO:BP","positive regulation of cardiocyte differentiation","GO:1905209","false","0.02601106804014195","1.584841814877675","14","320","3","21026","EFNB2,TGFB2,MEF2C"
"GO:BP","enucleate erythrocyte differentiation","GO:0043353","false","0.02601106804014195","1.584841814877675","14","320","3","21026","TRIM58,ID2,MB"
"GO:BP","erythrocyte differentiation","GO:0030218","false","0.026311905489116653","1.5798476994839314","136","320","8","21026","KLF2,DMTN,TRIM58,ID2,MB,INHA,HCLS1,ACVR2A"
"GO:BP","odontogenesis","GO:0042476","false","0.026311905489116653","1.5798476994839314","136","320","8","21026","TNC,FST,PITX2,LEF1,TGFB2,EDA,ITGB6,ACVR2A"
"GO:BP","actin filament-based movement","GO:0030048","false","0.026311905489116653","1.5798476994839314","136","320","8","21026","EPDR1,PKP2,SCN2A,SCN3A,ABCC9,MYH2,CAV3,MYLK2"
"GO:BP","regulation of endothelial cell migration","GO:0010594","false","0.02650696207596866","1.5766400432682253","169","320","9","21026","RHOB,AGT,CCBE1,STARD13,EGF,HDAC9,NRP2,MEF2C,FOXP1"
"GO:BP","regulation of epithelial to mesenchymal transition","GO:0010717","false","0.026732729604182666","1.5729566943856006","106","320","7","21026","AGT,SNAI1,FOXA1,LEF1,TGFB2,GCNT2,EPHA3"
"GO:BP","positive regulation of endothelial cell migration","GO:0010595","false","0.02797393272506132","1.553246473895537","107","320","7","21026","RHOB,AGT,CCBE1,EGF,HDAC9,NRP2,FOXP1"
"GO:BP","endothelium development","GO:0003158","false","0.02797393272506132","1.553246473895537","138","320","8","21026","RHOB,TMEM100,SLC40A1,CXCR4,STARD13,PPP1R16B,FOXP1,CLDN5"
"GO:BP","epithelial to mesenchymal transition","GO:0001837","false","0.02797393272506132","1.553246473895537","171","320","9","21026","AGT,SNAI1,FOXA1,TMEM100,KBTBD8,LEF1,TGFB2,GCNT2,EPHA3"
"GO:BP","regulation of cardiac muscle hypertrophy","GO:0010611","false","0.029291409129329454","1.5332597350998434","54","320","5","21026","AGT,NR4A3,TRIM63,FOXP1,CAV3"
"GO:BP","response to stimulus involved in regulation of muscle adaptation","GO:0014874","false","0.029291409129329454","1.5332597350998434","15","320","3","21026","AGT,FBXO32,TRIM63"
"GO:BP","neural crest cell development","GO:0014032","false","0.029291409129329454","1.5332597350998434","80","320","6","21026","SEMA3E,KBTBD8,PITX2,SEMA3D,FOLR1,NRP2"
"GO:BP","epithelial to mesenchymal transition involved in endocardial cushion formation","GO:0003198","true","0.029291409129329454","1.5332597350998434","15","320","3","21026","SNAI1,TMEM100,TGFB2"
"GO:BP","positive regulation of sequestering of calcium ion","GO:0051284","false","0.029291409129329454","1.5332597350998434","15","320","3","21026","CLIC2,TRDN,CASQ2"
"GO:BP","amine metabolic process","GO:0009308","false","0.03069572629834075","1.5129220862247206","110","320","7","21026","GCH1,GPR37,AANAT,TDO2,NPR1,TGFB2,CHRNB2"
"GO:BP","centrosome localization","GO:0051642","false","0.031146887298266205","1.5065853485789011","33","320","4","21026","MISP,PARD3B,CCDC141,PKHD1"
"GO:BP","microtubule organizing center localization","GO:0061842","false","0.031146887298266205","1.5065853485789011","33","320","4","21026","MISP,PARD3B,CCDC141,PKHD1"
"GO:BP","diencephalon development","GO:0021536","false","0.0321002218269517","1.4934919664148105","82","320","6","21026","TAL2,SEMA3E,PITX2,CHRNB2,NRP2,ARX"
