"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","heart contraction","GO:0060047","true","0.00003190639747672615","4.496122228846344","190","499","22","16268","RNF207,CACNA1G,AGT,CYP2J2,SCN4A,NPPA,PKP2,SCN2A,CSRP3,TGFB2,HSPB7,GJA1,KCNJ3,CTNNA3,CLIC2,TRDN,SCN3A,CASQ2,AGTR2,ABCC9,CAV3,MYLK2"
"GO:BP","heart process","GO:0003015","false","0.000047313029570965325","4.32501924210516","195","499","22","16268","RNF207,CACNA1G,AGT,CYP2J2,SCN4A,NPPA,PKP2,SCN2A,CSRP3,TGFB2,HSPB7,GJA1,KCNJ3,CTNNA3,CLIC2,TRDN,SCN3A,CASQ2,AGTR2,ABCC9,CAV3,MYLK2"
"GO:BP","striated muscle contraction","GO:0006941","false","0.000053570990467484116","4.271070323935405","151","499","19","16268","RNF207,CACNA1G,SCN4A,NPPA,PKP2,SCN2A,SMPX,CSRP3,RYR3,GJA1,KCNJ3,CTNNA3,CLIC2,LMOD3,SCN3A,CASQ2,CAV3,MYLK2,KLHL41"
"GO:BP","regulation of heart contraction","GO:0008016","false","0.00048346605056381214","3.3156340170731378","161","499","18","16268","RNF207,CACNA1G,AGT,CYP2J2,NPPA,PKP2,CSRP3,TGFB2,HSPB7,GJA1,KCNJ3,CTNNA3,CLIC2,TRDN,CASQ2,AGTR2,ABCC9,CAV3"
"GO:BP","cardiac muscle contraction","GO:0060048","false","0.0005988070591797101","3.222713088514817","118","499","15","16268","RNF207,CACNA1G,SCN4A,NPPA,PKP2,SCN2A,CSRP3,GJA1,KCNJ3,CTNNA3,CLIC2,SCN3A,CASQ2,CAV3,MYLK2"
"GO:BP","regulation of blood circulation","GO:1903522","false","0.0008950815268628465","3.0481374059643827","187","499","19","16268","F2R,RNF207,CACNA1G,AGT,CYP2J2,NPPA,PKP2,CSRP3,TGFB2,HSPB7,GJA1,KCNJ3,CTNNA3,CLIC2,TRDN,CASQ2,AGTR2,ABCC9,CAV3"
"GO:BP","cGMP-mediated signaling","GO:0019934","true","0.0009291653277407496","3.031907004480726","24","499","7","16268","AGT,NPPA,PDE11A,APOE,AGTR2,PDE2A,HTR2B"
"GO:BP","actin-mediated cell contraction","GO:0070252","false","0.0010299688163190302","2.987175923941025","95","499","13","16268","EPDR1,RNF207,CACNA1G,SCN4A,PKP2,SCN2A,GJA1,KCNJ3,CTNNA3,SCN3A,MYH2,CAV3,MYLK2"
"GO:BP","cardiac muscle cell action potential involved in contraction","GO:0086002","false","0.0011664131010826811","2.9331476110288768","57","499","10","16268","RNF207,CACNA1G,SCN4A,PKP2,SCN2A,GJA1,KCNJ3,CTNNA3,SCN3A,CAV3"
"GO:BP","regulation of smooth muscle cell proliferation","GO:0048660","false","0.0019086346272417104","2.719277201286746","88","499","12","16268","EFEMP2,ID2,NR4A3,CDKN1A,P2RY6,APOE,IGFBP5,GJA1,RBPMS2,MEF2C,ELN,FOXP1"
